ApplicantID,ReferenceNo,StageName,ResultStatus,NotificationMessage,VisibleToApplicant,CreatedAt,CreatedBy
AID-3D6925DF,APP-20260414093031,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 9:47:04,HR
AID-428D22E2,APP-20260414093131,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 13:13:32,HR
AID-1C4AEAB2,APP-20260414093137,Initial Screening,Pending,Please proceed to the holding area and wait for your number to be called. Ensure you keep your queue number for reference.,Yes,4/14/2026 9:31:37,System
AID-68261810,APP-20260414093139,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 13:22:11,HR
AID-CB94C4F6,APP-20260414093142,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 15:49:45,Marx
AID-E9A3C908,APP-20260414093202,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 13:11:39,HR
AID-70795C43,APP-20260414093213,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 9:43:16,HR
AID-F6542F90,APP-20260414093214,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 16:25:06,Marx
AID-20B27FD6,APP-20260414093223,Initial Screening,Pending,Please proceed to the holding area and wait for your number to be called. Ensure you keep your queue number for reference.,Yes,4/14/2026 9:32:23,System
AID-77B4FB14,APP-20260414093227,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 9:45:07,HR
AID-49E503A6,APP-20260414093255,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 9:49:31,HR
AID-6504021F,APP-20260414093332,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 13:51:17,HR
AID-94A79124,APP-20260414093414,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 16:00:45,Jason
AID-2D3BCB5B,APP-20260414093424,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 9:47:31,HR
AID-09F06749,APP-20260414093427,Initial Screening,Passed,Please proceed to the Math Exam Area.,Yes,4/14/2026 13:42:19,HR
AID-428D22E2,APP-20260414093131,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 13:42:49,HR
AID-CB94C4F6,APP-20260414093142,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 15:50:09,Marx
AID-F6542F90,APP-20260414093214,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 13:47:59,Marx
AID-09F06749,APP-20260414093427,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 15:58:05,Marx
AID-20B27FD6,APP-20260414093223,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 9:47:23,Math Exam System
AID-68261810,APP-20260414093139,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 13:23:10,HR
AID-94A79124,APP-20260414093414,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 16:01:28,Jason
AID-6504021F,APP-20260414093332,Math Exam,Passed,Please proceed to the Final Interview area.,Yes,4/14/2026 13:51:36,HR
AID-2D3BCB5B,APP-20260414093424,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 9:48:25,Math Exam System
AID-1C4AEAB2,APP-20260414093137,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 9:48:37,Math Exam System
AID-3D6925DF,APP-20260414093031,Math Exam,Passed,Please proceed to the Final Interview area.,Yes,4/14/2026 9:51:28,Math Exam System
AID-77B4FB14,APP-20260414093227,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 9:52:38,Math Exam System
AID-E9A3C908,APP-20260414093202,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 13:46:42,HR
AID-70795C43,APP-20260414093213,Math Exam,Passed,Please proceed to the Table Test Area.,Yes,4/14/2026 9:58:09,Math Exam System
AID-49E503A6,APP-20260414093255,Math Exam,Passed,Please proceed to the Final Interview area.,Yes,4/14/2026 10:29:52,Math Exam System
AID-77B4FB14,APP-20260414093227,Table Test,Passed,Please proceed to the Final Interview area.,Yes,4/14/2026 11:06:29,Anthony
AID-2D3BCB5B,APP-20260414093424,Table Test,Passed,Please proceed to the Final Interview area.,Yes,4/14/2026 11:08:04,Jek
AID-68261810,APP-20260414093139,Table Test,Passed,Please proceed to the Final Interview area.,Yes,4/14/2026 13:44:20,HR
