ApplicantID,ReferenceNo,GameCode
AID-428D22E2,APP-20260414093131,MB
AID-428D22E2,APP-20260414093131,BJ
AID-1C4AEAB2,APP-20260414093137,MB
AID-1C4AEAB2,APP-20260414093137,RL
AID-1C4AEAB2,APP-20260414093137,BJ
AID-68261810,APP-20260414093139,MB
AID-68261810,APP-20260414093139,BJ
AID-CB94C4F6,APP-20260414093142,MB
AID-CB94C4F6,APP-20260414093142,BJ
AID-E9A3C908,APP-20260414093202,MB
AID-E9A3C908,APP-20260414093202,BJ
AID-70795C43,APP-20260414093213,MB
AID-70795C43,APP-20260414093213,RL
AID-70795C43,APP-20260414093213,BJ
AID-F6542F90,APP-20260414093214,MB
AID-F6542F90,APP-20260414093214,RL
AID-F6542F90,APP-20260414093214,BJ
AID-F6542F90,APP-20260414093214,CRAPS
AID-20B27FD6,APP-20260414093223,MB
AID-20B27FD6,APP-20260414093223,BJ
AID-77B4FB14,APP-20260414093227,MB
AID-77B4FB14,APP-20260414093227,BJ
AID-94A79124,APP-20260414093414,MB
AID-94A79124,APP-20260414093414,BJ
AID-2D3BCB5B,APP-20260414093424,MB
AID-2D3BCB5B,APP-20260414093424,BJ
AID-09F06749,APP-20260414093427,MB
AID-09F06749,APP-20260414093427,RL
AID-09F06749,APP-20260414093427,BJ
AID-A0AD0E52,APP-20260414133846,MB
AID-A0AD0E52,APP-20260414133846,BJ
AID-AFE16958,APP-20260414133922,MB
AID-AFE16958,APP-20260414133922,RL
AID-0ABA8458,APP-20260414133935,MB
AID-0ABA8458,APP-20260414133935,BJ
AID-0ABA8458,APP-20260414133935,CRAPS
AID-C33D5C6C,APP-20260414133936,MB
AID-C33D5C6C,APP-20260414133936,RL
AID-C33D5C6C,APP-20260414133936,BJ
AID-7F61B697,APP-20260414133944,MB
AID-7F61B697,APP-20260414133944,RL
AID-9CC364E8,APP-20260414133954,MB
AID-9CC364E8,APP-20260414133954,BJ
AID-F50BFEE1,APP-20260414133956,MB
AID-F50BFEE1,APP-20260414133956,BJ
AID-3C568AAE,APP-20260414134027,MB
AID-3C568AAE,APP-20260414134027,BJ
AID-80D2D93E,APP-20260414134232,MB
AID-80D2D93E,APP-20260414134232,BJ
AID-AAE6F7AF,APP-20260414134319,BJ
AID-AAE6F7AF,APP-20260414134319,MB
AID-04FAD7DA,APP-20260415093334,MB
AID-04FAD7DA,APP-20260415093334,RL
AID-04FAD7DA,APP-20260415093334,BJ
AID-D1457C5A,APP-20260415093353,MB
AID-D1457C5A,APP-20260415093353,BJ
AID-81119EC0,APP-20260415093412,MB
AID-81119EC0,APP-20260415093412,BJ
AID-2D4664D9,APP-20260415093413,MB
AID-2D4664D9,APP-20260415093413,BJ
AID-4E3C6BEC,APP-20260415093420,MB
AID-4E3C6BEC,APP-20260415093420,BJ
AID-E61F6F19,APP-20260415093441,MB
AID-E61F6F19,APP-20260415093441,BJ
AID-BC66AD0E,APP-20260415093448,MB
AID-BC66AD0E,APP-20260415093448,BJ
AID-8B3AF4CE,APP-20260415093815,MB
AID-8B3AF4CE,APP-20260415093815,BJ
AID-9A96E816,APP-20260415135705,MB
AID-9A96E816,APP-20260415135705,CRAPS
AID-6568BDB6,APP-20260415135713,MB
AID-6568BDB6,APP-20260415135713,BJ
AID-17838069,APP-20260415135805,MB
AID-17838069,APP-20260415135805,RL
